"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
4735,6.095,278.89838,"Unknown","null",0.955790614642771,-0.0652334937340466,0.163241789568529,0.425602714105734,0.716501735699652
4737,6.092,278.93555,"Unknown","null",1.00233001072866,0.00335758483635473,0.927278553863992,0.959379262865631,0.545388342009454
4767,1.133,279.15652,"Unknown","null",0.882171558583037,-0.180868846532324,0.00619239226110356,0.0691919973418639,0.766033998247168
4769,0.934,279.23215,"no MS2: Linoleic acid","Lineolic acids and derivatives",1.14227697260807,0.19191250933425,0.394027112023471,0.641729891511165,1.09092079500725
4770,4.999,279.2338,"no MS2: FA 18:2","FA",0.994901147815682,-0.00737490655853179,0.943953710563532,0.968992605232604,0.397666843259377
4777,6.218,279.8569,"Unknown","null",0.994088780728465,-0.0085533921973564,0.877379925466209,0.938052977939127,0.432578740691662
4782,1.222,279.99139,"Unknown","null",0.942316693370434,-0.0857160932548418,0.730011395142977,0.870164754452362,1.10740387535008
4784,2.24,280.05273,"Unknown","null",0.983861077443239,-0.0234734754946313,0.786596473871684,0.900883679020071,0.635062165945901
4785,1.971,280.0528,"Unknown","null",1.43581477440085,0.521869647984733,0.0106556763241464,0.0908238301303755,1.77991456768008
4790,1.042,280.82565,"Unknown","null",1.25129871544748,0.323426237026407,0.000135352842590776,0.0110612973401511,1.29238955469319
4791,6.094,280.89395,"Unknown","null",0.953946201562556,-0.068020188119295,0.181563360587228,0.442164356555074,0.848275076560892
4792,6.408,280.90842,"Unknown","null",0.851082029660221,-0.23262990530201,0.0107698517656184,0.0908238301303755,1.13717447497858
4793,6.093,280.93835,"Unknown","null",0.964977075428302,-0.0514334256245235,0.303668322447564,0.580172766980518,0.567978169488457
4797,4.405,281.03439,"Unknown","null",1.00716519896747,0.0103003389395706,0.875019026973691,0.937566166742325,0.667494447740193
4798,8.091,281.03583,"Unknown","null",0.937379244351068,-0.0932952441746462,0.0756718195451258,0.277521998657357,0.572591551439631
4803,1.134,281.17477,"Unknown","null",0.921744206534338,-0.11756165135286,0.193000421541061,0.453594135276086,0.688729287079179
4804,0.932,281.24765,"low score: FA 18:1","FA",1.19858328206367,0.261330156334482,0.224114697015364,0.489513680323031,1.15259478518779
4814,8.233,282.04514,"Unknown","null",0.936944536906765,-0.0939644458266216,0.241771233661371,0.51453877933061,0.490937344196754
4817,1.831,282.84006,"Unknown","null",1.10048893962719,0.13814464561549,0.464551871672336,0.700592222301671,0.516631062151198
4819,6.413,282.90469,"Unknown","null",0.876381852800257,-0.190368484071477,0.0448990184442718,0.209090658232178,0.965664993170838
4821,1.764,282.97784,"Unknown","null",1.20710196176446,0.271547543134474,0.00175125106487292,0.0447701526146432,1.32161373077325
4823,1.214,282.98767,"Unknown","null",1.10615797713559,0.145557440323531,0.453438009071306,0.689558090940646,0.425935949698152
4835,6.141,283.08099,"Unknown","null",1.12618444133206,0.171443124757573,0.42345685650089,0.664554001948073,0.641644180433133
4841,1.113,283.18939,"Unknown","null",0.820582534730676,-0.285279646634963,0.00381042943805056,0.0609944272030168,1.26131380122023
4844,3.523,283.7095,"Unknown","null",0.938618630657971,-0.0913889981573384,0.138239323165729,0.38721742918713,0.580590603386952
4845,3.595,283.70966,"Unknown","null",0.665448497820866,-0.587601081362735,0.0813220824840139,0.287562002509645,1.44189806053807
4866,6.192,284.84372,"Unknown","null",0.979561730028343,-0.0297916837629639,0.584242495272249,0.7801442972433,0.774343353965664
