"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
1638,6.264,168.83571,"Unknown","null",1.00201643675241,0.00290617422843376,0.938903705167335,0.981827783687071,0.241265757926096
1639,6.084,168.8521,"Unknown","null",1.05859968295425,0.0821571270049493,0.141099698261709,0.523880530166151,0.909763207089921
1644,1.816,168.88632,"Unknown","null",0.980774498821891,-0.0280066269735588,0.867131305930747,0.965221843931098,0.216730402091744
1653,6.092,168.94862,"Unknown","null",1.06081154704602,0.0851683845369031,0.0523420349116176,0.367254324767195,0.791413298625859
1659,3.525,169.82217,"Unknown","null",1.10634856337468,0.145805989033006,0.00818947263505173,0.140551523282986,0.918840068895614
1668,6.237,169.83336,"Unknown","null",1.75910932401199,0.814845145293598,2.88019086040134e-07,4.32836559701764e-05,3.01501668654675
1674,6.094,169.87973,"Unknown","null",1.26360100050308,0.337540984505317,9.54191073090971e-08,2.57249836458996e-05,1.88524101471771
1676,2.302,169.96707,"Unknown","null",1.2865472562441,0.363504449762662,0.095190751360429,0.469016661143571,1.37109292717661
1686,6.267,170.83199,"Unknown","null",1.01739538401913,0.0248804537383691,0.509604130905846,0.82025134479137,0.261434164018371
1691,1.8,170.88229,"Unknown","null",0.877210336517472,-0.189005282927569,0.209348010635282,0.583680618581069,0.781191493549818
1694,1.701,171.02704,"Unknown","null",0.807165645440162,-0.309063323079178,0.106952248700689,0.485099046079452,1.23335742120683
1703,3.571,171.81915,"Unknown","null",1.10416746361367,0.142958995126031,0.0108663355493271,0.164037762408782,0.902900436235879
1704,3.507,171.81917,"Unknown","null",1.10684105554602,0.146448063276369,0.0103040809677735,0.158757206250902,0.923041360150846
1710,6.238,171.83063,"Unknown","null",1.57028665990865,0.651027950886236,1.99074520223217e-06,0.000205184048602482,2.68748084752239
1727,4.543,171.94641,"Unknown","null",0.876997522469197,-0.189355327846148,0.0854800976847628,0.451122038843739,1.16317350908637
1730,5.294,171.94658,"Unknown","null",1.87606396858927,0.90770902060016,7.00294798508046e-05,0.00438598636617114,2.95060476165599
1746,2.501,172.04843,"Unknown","null",1.03536916011162,0.0501452513038849,0.61549073069477,0.870875069092207,0.294863981599385
