"Dataset","Analysis","Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
"Lip_Neg","paired",2350,10.044,856.6073,"PC 38:3|PC 18:0_20:3","PC",1.48092029450184,0.566493994562371,4.2808675554933e-06,0.000101155314829805,1.51820135548708
"Lip_Neg","paired",2461,8.772,883.54089,"PI 38:5","PI",0.870093197792232,-0.200758155085232,4.86627888700995e-06,0.000104952176580344,0.830455945484976
"Lip_Neg","paired",2723,8.697,1068.67151,"low score: Hex3Cer 34:1;O2","Hex3Cer",0.660096670362465,-0.599250773992441,4.93505532509455e-06,0.000104952176580344,1.44864381528545
"Lip_Neg","paired",2482,9.079,897.56726,"no MS2: PI 36:0;O2|PI 18:0_18:0;O2","OxPI",0.764216522806157,-0.387946644948006,6.11466321347675e-06,0.00012584371387736,1.12284498308826
"Lip_Neg","paired",1066,5.658,504.3107,"RIKEN N-VS1 ID-2229 from Mouse_BAT_fads2KO_N_Ctr","Unknown",0.72098326467652,-0.471962322589645,8.40075877092293e-06,0.000148880113773579,1.33948752920294
"Lip_Neg","paired",1800,9.436,718.53851,"DMPE 32:0|DMPE 16:0_16:0","DMPE",0.831121152190813,-0.266869301495783,9.8637540820896e-06,0.000170083110929004,0.905910482614589
"Lip_Neg","paired",776,7.544,411.38556,"RIKEN N-VS1 ID-1536 from Mouse_Feces_WT_ABX_Ctr","Unknown",0.72014481879866,-0.473641037841112,1.17252654500175e-05,0.000177799265173548,1.24666421117364
"Lip_Neg","paired",1913,8.899,744.56604,"low score: HexCer 34:1;O2|HexCer 21:0;O2/13:1","HexCer_NDS",0.753970175151819,-0.40742063904805,1.07461132045099e-05,0.000177799265173548,1.139156170398
"Lip_Neg","paired",2029,9.433,778.56177,"PC 32:0|PC 16:0_16:0","PC",0.890341485492696,-0.167569315059581,1.09436284053821e-05,0.000177799265173548,0.681054676611169
"Lip_Neg","paired",2184,9.426,814.59656,"PC O-36:3|PC O-18:1_18:2","EtherPC",0.704939248631227,-0.504429162872359,1.13832488557032e-05,0.000177799265173548,1.38714794881699
"Lip_Neg","paired",2533,10.514,923.64752,"low score: DGDG O-32:0|DGDG O-26:0_6:0","EtherDGDG",0.591037204542936,-0.758679147022288,1.1933294841132e-05,0.000177799265173548,1.73232949440794
"Lip_Neg","paired",2708,11.54,1061.6449,"low score: DGDG 42:8|DGDG 21:4_21:4","DGDG",0.55086279852425,-0.860235058371726,1.19833360540166e-05,0.000177799265173548,2.04957314243748
"Lip_Neg","paired",433,5.797,279.23267,"FA 18:2","FA",0.738985018813501,-0.436382977474727,1.35367976851501e-05,0.000194878358909494,1.22782026620423
"Lip_Neg","paired",2118,8.264,794.5108,"low score: SHexCer 34:1;O3","SHexCer",0.727928285581429,-0.458131769645162,1.50914392877419e-05,0.000209311701425638,1.19534819255276
"Lip_Neg","paired",2185,10.21,814.59839,"PC O-36:3|PC O-18:1_18:2","EtherPC",0.662906021079823,-0.593123738172878,1.56207401574861e-05,0.000211091971205125,1.43828472272969
"Lip_Neg","paired",2293,10.132,838.5968,"PC O-38:5|PC O-18:1_20:4","EtherPC",0.646651775684246,-0.628939070051812,1.58815276141787e-05,0.000211091971205125,1.49629450352223
"Lip_Neg","paired",2294,9.412,838.59875,"PC O-38:5|PC O-18:1_20:4","EtherPC",0.837964877856472,-0.255038318270817,2.24758729597032e-05,0.000286792138965813,0.964947001250925
"Lip_Neg","paired",1331,5.659,564.33038,"LPC 18:2","LPC",0.776425669491863,-0.365080278952702,2.79158617530892e-05,0.000323823996335835,1.11903103127998
"Lip_Neg","paired",2359,11.538,857.67773,"SM 42:2;O2|SM 23:1;O2/19:1","SM",0.820147047001247,-0.286045496180634,2.8917524085771e-05,0.00032945322083432,1.0707930605168
"Lip_Neg","paired",2290,9.307,836.58337,"PC O-38:6|PC O-16:0_22:6","EtherPC",0.786198810333135,-0.347033914193004,3.64519952466731e-05,0.000406880875636634,0.998336602410536
"Lip_Neg","paired",2464,8.984,885.55133,"PI 38:4|PI 18:0_20:4","PI",1.1229072576158,0.167238778581854,3.69891705124212e-05,0.000406880875636634,0.652862472807628
"Lip_Neg","paired",1217,7.352,533.2923,"no MS2: RIKEN N-VS1 ID-2482 from Mouse_Feces_WT_ABX_Ctr","Unknown",0.842915688186843,-0.246539760656896,3.95655582332244e-05,0.000427844511064359,0.874408440621121
"Lip_Neg","paired",2480,12.944,896.67804,"no MS2: PC O-42:4|PC O-18:3_24:1","EtherPC",0.584860754448863,-0.77383491083804,4.24183620478395e-05,0.000451048583108694,1.84340160028178
"Lip_Neg","paired",2572,9.017,938.53687,"low score: PC 40:8;O4|PC 22:5_18:3;O4","OxPC",0.874322278772104,-0.193762933829071,4.72976849107262e-05,0.000494687261853169,0.765419129119528
"Lip_Neg","paired",2298,10.254,840.61475,"PC O-38:4|PC O-18:0_20:4","EtherPC",0.741380306177302,-0.431714302575864,4.98959094988141e-05,0.000513445004197474,1.29234912036529
"Lip_Neg","paired",1065,5.794,504.3085,"RIKEN N-VS1 ID-2229 from Mouse_BAT_fads2KO_N_Ctr","Unknown",0.78232813053001,-0.354154253342619,5.2507271468646e-05,0.000531740304714225,1.16672068688288
